ts_code,industry,total_mv,close,data_count,atr_ratio_latest,mae,cov_0.5x,cov_0.8x,cov_1.0x,cov_1.2x,cov_1.5x,cov_2.0x,buy_dev_median,buy_dev_p80,sell_dev_median,sell_dev_p80
002238.SZ,传媒,624391.0,7.78,4164,3.5346,1.6083,11.8,46.3,64.1,76.3,87.2,94.8,0.3487,0.7202,0.378,0.7979
002258.SZ,基础化工,1227870.0,15.34,4258,5.4023,1.4179,9.9,44.2,62.5,76.0,87.5,95.8,0.364,0.7381,0.3728,0.7992
002277.SZ,商贸零售,955008.0,6.85,4013,3.7308,1.4143,10.8,44.9,63.7,76.7,87.4,95.1,0.3516,0.7203,0.3744,0.7979
002297.SZ,国防军工,665948.0,11.62,3748,5.591,1.6303,11.2,45.8,64.1,77.0,86.7,95.2,0.3389,0.7085,0.3984,0.8082
002317.SZ,医药生物,1551120.0,18.25,3876,2.8136,1.4512,11.1,44.3,62.9,75.1,86.9,95.6,0.3586,0.7387,0.3685,0.7832
002337.SZ,机械设备,396138.0,6.73,3877,2.9214,1.5454,11.7,46.4,64.0,76.7,87.2,94.8,0.3489,0.7338,0.3784,0.7765
002356.SZ,商贸零售,531058.0,4.05,3598,6.3686,1.7691,13.3,46.8,63.9,76.0,86.3,94.7,0.3684,0.7101,0.354,0.7971
002376.SZ,计算机,619270.0,7.64,3806,2.3162,1.2659,8.9,42.6,63.5,77.8,88.5,96.0,0.3684,0.7468,0.3819,0.776
002394.SZ,纺织服饰,514036.0,15.88,3850,4.8392,1.0576,11.0,44.1,63.7,77.2,88.0,95.0,0.3561,0.7578,0.3771,0.7606
002413.SZ,,1854990.0,14.06,3581,6.3767,1.5312,11.5,45.1,64.6,76.4,86.7,95.1,0.3426,0.7374,0.3692,0.8035
002434.SZ,汽车,1096020.0,8.35,3677,3.7147,1.4242,9.8,43.9,62.2,75.6,87.1,95.7,0.3853,0.7378,0.3718,0.7973
002455.SZ,,831962.0,14.0,3742,9.0795,1.6552,11.7,45.2,64.1,76.1,86.2,94.0,0.3623,0.7326,0.3743,0.7855
002475.SZ,电子,35949000.0,49.34,3733,3.3622,1.3675,6.8,40.5,61.6,76.3,88.8,97.2,0.3742,0.7403,0.4006,0.8432
002495.SZ,食品饮料,261975.0,2.8,3720,2.628,1.4709,11.6,46.0,64.8,76.8,87.2,94.1,0.3587,0.7259,0.3797,0.7756
002519.SZ,,920294.0,8.17,3570,7.019,1.5483,11.4,46.0,64.7,76.9,86.9,94.7,0.3576,0.7254,0.3679,0.7805
002539.SZ,基础化工,1812790.0,15.01,3643,5.2346,1.3806,10.4,44.3,63.7,75.7,86.9,95.0,0.3607,0.7396,0.3783,0.7845
002557.SZ,,1139690.0,22.53,3610,2.226,1.1523,7.3,39.1,61.9,76.1,88.5,96.3,0.3976,0.7391,0.3867,0.8135
002575.SZ,轻工制造,536355.0,8.7,3166,7.0914,1.7332,13.1,46.2,63.3,76.0,86.9,95.0,0.336,0.6957,0.3889,0.8288
002594.SZ,汽车,92712800.0,101.69,3561,2.9176,1.2841,9.2,44.0,65.4,77.7,89.4,96.8,0.3658,0.7168,0.3648,0.7918
002614.SZ,家用电器,412915.0,6.62,3485,2.2924,1.5006,11.0,44.1,63.3,76.5,88.0,95.4,0.3674,0.7398,0.3639,0.7843
002635.SZ,,990190.0,15.01,3371,3.1793,1.4644,8.7,43.0,63.1,76.7,88.2,96.7,0.3577,0.7248,0.3864,0.801
002654.SZ,电子,1401510.0,16.58,3097,4.947,1.7746,11.8,46.8,63.7,75.5,86.3,94.3,0.3443,0.6913,0.3793,0.8165
002673.SZ,非银金融,3432640.0,7.68,3351,1.5905,1.3564,13.9,47.1,65.5,77.3,87.0,94.8,0.3178,0.6367,0.3873,0.8265
002693.SZ,,340460.0,8.21,3204,2.9422,1.7957,13.8,48.2,65.7,77.5,87.2,94.2,0.3353,0.6932,0.3705,0.7995
002716.SZ,,3698250.0,13.1,2757,7.2287,1.656,13.5,48.3,67.1,78.6,88.1,95.9,0.3075,0.6323,0.3972,0.81
002735.SZ,,608287.0,16.21,2517,4.3919,1.8959,14.0,47.2,64.9,75.6,85.5,93.7,0.3545,0.716,0.3679,0.8096
002758.SZ,,542149.0,10.45,2605,3.0968,1.5136,13.3,49.5,66.5,77.3,86.9,94.4,0.3466,0.7168,0.3585,0.7579
002780.SZ,纺织服饰,254326.0,15.38,2484,3.2159,1.6843,11.8,47.2,64.5,76.3,86.8,95.2,0.3738,0.704,0.3522,0.7987
002801.SZ,电力设备,792001.0,34.49,2364,3.1476,1.4023,10.5,43.9,64.0,76.4,87.0,95.2,0.3789,0.7438,0.3644,0.7804
002822.SZ,建筑装饰,655517.0,3.36,2252,2.9944,1.5752,14.5,47.6,64.6,77.1,87.7,95.1,0.3546,0.7028,0.3469,0.7881
002841.SZ,,2459030.0,35.33,2221,2.3398,1.1523,6.8,40.8,63.3,77.8,90.1,96.8,0.4042,0.7477,0.3663,0.7824
002861.SZ,电子,332889.0,17.87,2166,4.6679,1.8261,12.6,47.2,64.5,76.4,86.8,95.0,0.3489,0.6972,0.3842,0.7905
002881.SZ,,1328530.0,43.99,2121,4.4234,1.8356,11.1,44.4,63.5,76.3,87.9,95.9,0.3488,0.7096,0.3767,0.8398
002900.SZ,医药生物,381840.0,12.07,2055,2.4344,1.7367,14.9,49.7,66.3,77.3,86.8,94.6,0.3388,0.7042,0.356,0.7704
002920.SZ,计算机,6890160.0,115.45,1993,3.2088,1.581,8.1,42.0,62.2,76.6,89.1,97.2,0.368,0.6963,0.3961,0.8118
002941.SZ,建筑装饰,1144980.0,15.69,1769,2.9107,1.7894,14.7,49.8,66.6,78.0,86.6,94.7,0.3227,0.6518,0.3777,0.8078
002961.SZ,非银金融,1248610.0,26.18,1580,4.1867,1.6105,11.6,46.9,66.5,77.5,87.0,93.7,0.3409,0.6684,0.3772,0.8126
002981.SZ,,347977.0,25.31,1433,3.4218,1.6568,11.2,46.2,66.5,77.1,88.1,94.5,0.3745,0.7407,0.3622,0.7326
003001.SZ,,328821.0,18.86,1317,2.4285,1.705,14.5,46.9,64.3,76.0,87.3,95.4,0.352,0.7038,0.349,0.7855
003020.SZ,医药生物,471081.0,24.77,1272,2.2887,1.633,11.7,44.8,64.2,76.1,87.0,95.3,0.3633,0.7019,0.3715,0.7779
003040.SZ,,791770.0,17.17,1209,2.8775,1.8616,14.3,48.1,66.9,77.9,87.7,95.3,0.3045,0.6492,0.3954,0.8069
300015.SZ,医药生物,9521230.0,10.21,3954,1.9402,1.273,9.0,40.7,62.1,76.1,88.5,96.2,0.361,0.7176,0.407,0.8454
300035.SZ,,1483260.0,21.64,3801,4.3324,1.6598,10.0,44.6,63.6,75.4,87.9,95.8,0.3437,0.7142,0.3927,0.8176
300055.SZ,,846791.0,10.12,3828,5.2724,1.5312,10.4,43.7,64.0,76.8,87.7,95.5,0.356,0.7391,0.3806,0.7867
300075.SZ,,855296.0,13.77,3763,2.772,1.6708,10.0,45.1,63.9,77.1,88.0,96.1,0.3493,0.7271,0.3877,0.8048
300095.SZ,,433953.0,10.33,3720,3.8229,1.6154,11.9,46.3,64.2,77.0,87.1,94.7,0.3492,0.7452,0.3706,0.7607
300119.SZ,农林牧渔,909525.0,19.57,3716,2.3762,1.467,9.2,43.2,63.2,76.7,87.5,95.5,0.3647,0.7397,0.3685,0.7827
300137.SZ,,717410.0,13.37,3664,4.3339,1.5872,10.9,46.4,64.9,77.5,88.0,95.5,0.3518,0.7133,0.3814,0.7847
300155.SZ,计算机,295206.0,5.26,3655,3.5226,1.8031,10.8,45.6,64.3,76.4,86.9,95.2,0.3508,0.7168,0.3784,0.7959
300175.SZ,农林牧渔,305078.0,6.48,3629,2.645,1.8343,12.1,46.6,65.2,77.1,87.3,94.9,0.3347,0.7024,0.375,0.7939
300195.SZ,机械设备,362270.0,8.55,3501,4.0426,1.4162,10.5,44.3,63.8,76.9,87.5,94.9,0.3599,0.7547,0.3768,0.7707
300215.SZ,社会服务,670439.0,8.95,3571,7.6243,1.6072,11.3,45.0,64.2,76.5,87.4,94.7,0.3509,0.7157,0.3739,0.8057
300235.SZ,计算机,327522.0,13.01,3437,3.5258,1.9263,11.3,45.5,63.6,76.9,87.2,95.4,0.33,0.6951,0.3834,0.8239
300253.SZ,计算机,2036070.0,9.19,3469,4.7896,1.6975,9.8,42.7,62.6,76.6,87.4,96.1,0.3591,0.7049,0.3926,0.8353
300272.SZ,,518526.0,8.48,3329,3.4318,1.7208,12.0,47.3,64.9,76.9,87.2,94.6,0.3386,0.7041,0.3729,0.7899
300294.SZ,,1033210.0,20.49,3235,1.7913,1.2693,8.5,42.0,62.1,75.9,88.7,96.3,0.3537,0.7317,0.3959,0.8052
